order_id,uid,remaining,last_study,idle,is_frozen,tag,reason,month
731867701483782,3307154749,14,2026-08-25 20:00:00,6.0,0,Normal,"1-20, idle<=90",2026-09
733169559482632,3307154801,18,2026-06-18 20:30:00,74.0,1,Frozen,"1-20, idle<=90",2026-09
731925908244744,3307163355,9,2026-08-30 22:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
731868644157702,3307168445,4,2026-08-29 20:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
733832027007240,3307169303,7,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
738061256659202,3307169316,13,2026-08-29 20:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
732765549052162,3307174602,1,2026-08-26 22:00:00,5.0,0,Normal,"1-20, idle<=90",2026-09
732099293995270,3307181182,5,2026-08-28 16:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
732804988600582,3307212516,1,2026-08-27 20:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
735272089594114,3307214807,11,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733161331755270,3307215319,1,2026-08-28 19:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
753008752308482,3307215322,10,2026-08-28 22:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
733890789277960,3307216785,2,2026-08-31 22:30:00,0.0,0,Normal,"1-20, idle<=90",2026-09
732460246354182,3307218686,4,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733653588752646,3307230940,5,2026-08-30 18:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
737422282725638,3307232031,6,2026-08-29 17:00:00,2.0,0,Normal,"1-20, idle<=90",2026-09
735962459146498,3307237949,15,2026-08-27 17:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
732104561873160,3307240175,12,2026-08-29 21:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
732804151539976,3307260592,3,2026-08-31 20:30:00,0.0,0,Normal,"1-20, idle<=90",2026-09
732483719061762,3307287823,8,2026-08-28 20:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
733647407870210,3307305760,4,2026-08-30 10:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
732120638017798,3307305951,1,2026-08-30 21:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
734882846218502,3307314378,10,2026-08-28 22:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
750662896998662,3307318200,7,2026-08-28 14:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
732081587456258,3307322455,7,2026-08-26 21:30:00,5.0,0,Normal,"1-20, idle<=90",2026-09
732764944779522,3307341507,9,2026-08-30 15:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
732933037306114,3307345268,5,2026-08-25 22:00:00,6.0,0,Normal,"1-20, idle<=90",2026-09
748730134124802,3307376955,2,2026-08-31 20:30:00,0.0,0,Normal,"1-20, idle<=90",2026-09
732587459555592,3307382773,7,2026-08-30 19:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
746797502048518,3307389514,4,2026-08-28 21:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
732950881810694,3307395439,8,2026-08-27 22:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
734178685481222,3307403644,10,2026-08-27 21:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
742698618757378,3307422443,8,2026-08-26 20:30:00,5.0,0,Normal,"1-20, idle<=90",2026-09
733997621694726,3307430132,4,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733643853367558,3307446251,4,2026-08-27 19:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
737359726022920,3307447967,18,2026-08-30 21:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
737725651503362,3307448513,15,2026-08-31 21:30:00,0.0,0,Normal,"1-20, idle<=90",2026-09
740209264836866,3307462976,15,2026-08-24 20:00:00,7.0,0,Normal,"1-20, idle<=90",2026-09
733997453695234,3307463114,7,2026-08-30 21:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
733644317552902,3307464577,9,2026-08-30 21:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
732930476263682,3307472680,4,2026-08-25 16:30:00,6.0,0,Normal,"1-20, idle<=90",2026-09
733168840984834,3307479761,9,2026-08-27 09:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
734233685238018,3307480761,6,2026-08-27 22:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733830627121416,3307482734,5,2026-08-30 22:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
733025962021126,3307486283,12,2026-08-31 20:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
733996475533574,3307496676,9,2026-08-29 16:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
733872856310018,3307534016,14,2026-08-21 18:30:00,10.0,0,Normal,"1-20, idle<=90",2026-09
733814131384578,3307534877,5,2026-08-28 21:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
733316840368386,3307545894,2,2026-08-31 21:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
733643105431810,3307546674,7,2026-08-28 18:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
733993041889538,3307547281,14,2026-08-31 10:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
733152293697800,3307551406,1,2026-08-25 21:00:00,6.0,0,Normal,"1-20, idle<=90",2026-09
733126068386054,3307551479,18,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
736708729559298,3307573082,9,2026-08-29 09:00:00,2.0,0,Normal,"1-20, idle<=90",2026-09
733656383258886,3307573307,3,2026-08-28 21:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
733317292577032,3307574232,13,2026-08-30 20:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
750663117375752,3307589940,6,2026-08-30 11:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
733996805984518,3307600687,4,2026-08-31 20:30:00,0.0,0,Normal,"1-20, idle<=90",2026-09
735409204371718,3307610742,11,2026-08-31 19:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
733161066031362,3307613022,16,2026-08-27 18:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733642239056136,3307614840,10,2026-08-27 19:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733995480029446,3307628769,11,2026-08-30 20:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
739537465555206,3307631938,14,2026-08-27 21:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733997834150152,3307642181,5,2026-08-30 20:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
735287255546118,3307642962,16,2026-08-27 21:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733659200672002,3307683649,5,2026-08-29 19:00:00,2.0,0,Normal,"1-20, idle<=90",2026-09
735052334393608,3307688820,8,2026-08-29 22:00:00,2.0,0,Normal,"1-20, idle<=90",2026-09
734385871524098,3307693536,12,2026-08-27 21:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
754512215857410,3307703078,11,2026-08-30 20:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
734613503357192,3307705707,7,2026-08-28 21:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
744300666589442,3307729617,16,2026-08-29 17:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
735770080065798,3307729719,8,2026-08-25 21:00:00,6.0,0,Normal,"1-20, idle<=90",2026-09
733902508869896,3307749728,6,2026-08-24 21:30:00,7.0,0,Normal,"1-20, idle<=90",2026-09
734073197652230,3307763734,20,2026-08-20 19:00:00,11.0,0,Normal,"1-20, idle<=90",2026-09
750151309639942,3307764556,6,2026-08-28 14:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
736310519550216,3307767997,16,2026-08-26 20:30:00,5.0,0,Normal,"1-20, idle<=90",2026-09
735131765451014,3307772791,13,2026-08-28 21:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
748153096536326,3307778687,2,2026-08-26 22:30:00,5.0,0,Normal,"1-20, idle<=90",2026-09
734029415221506,3307781944,13,2026-08-30 09:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
734362832949510,3307812127,6,2026-08-28 19:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
734208557263112,3307820525,10,2026-08-27 20:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
734895235977474,3307831234,11,2026-08-28 21:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
734347388506374,3307834921,8,2026-08-31 20:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
733882352052482,3307835373,1,2026-08-31 22:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
734071062939910,3307835988,15,2026-08-27 18:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
734785982601480,3307837265,12,2026-08-30 12:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
759176237517064,3307839789,17,2026-08-29 11:30:00,2.0,0,Normal,"1-20, idle<=90",2026-09
735267749517574,3307956239,18,2026-08-27 22:30:00,4.0,0,Normal,"1-20, idle<=90",2026-09
733833575807234,3308442479,7,2026-08-27 20:00:00,4.0,0,Normal,"1-20, idle<=90",2026-09
750994365974786,3308444081,5,2026-08-28 21:30:00,3.0,0,Normal,"1-20, idle<=90",2026-09
734170881702152,3308459102,6,2026-08-28 18:00:00,3.0,0,Normal,"1-20, idle<=90",2026-09
734232580393218,3308461093,5,2026-08-30 20:00:00,1.0,0,Normal,"1-20, idle<=90",2026-09
736513520070920,3308466343,15,2026-08-31 17:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
734927235682566,3308496868,4,2026-08-31 21:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
734940659761416,3308497919,7,2026-08-26 22:00:00,5.0,0,Normal,"1-20, idle<=90",2026-09
755092505823496,3308500384,11,2026-08-31 16:00:00,0.0,0,Normal,"1-20, idle<=90",2026-09
734442387976450,3308502093,3,2026-08-21 13:00:00,10.0,0,Normal,"1-20, idle<=90",2026-09
734541168904450,3308512196,15,2026-08-30 12:30:00,1.0,0,Normal,"1-20, idle<=90",2026-09
736360691597570,3308521547,7,2026-08-26 21:00:00,5.0,0,Normal,"1-20, idle<=90",2026-09
